player,age,tm.x,number,position,ht,wt,college,country
Paul Reed,21,PHI,44,F,9-Jun,210,DePaul,USA
Naz Reid,21,MIN,11,C-F,9-Jun,264,Louisiana State,USA
Nick Richards,23,CHO,14,C,1-Jul,245,Kentucky,Jamaica
Josh Richardson,27,DAL,0,G,5-Jun,200,Tennessee,USA
Austin Rivers,28,NYK,8,G,4-Jun,200,Duke,USA
Duncan Robinson,26,MIA,55,F,7-Jun,215,Michigan,USA
Glenn Robinson III,27,SAC,30,F,6-Jun,222,Michigan,USA
Jerome Robinson,23,WAS,12,G,4-Jun,190,Boston College,USA
Mitchell Robinson,22,NYK,23,C-F,1-Jul,240,Western Kentucky,USA
Isaiah Roby,22,OKC,22,F,8-Jun,230,Nebraska-Lincoln,USA
Rajon Rondo,34,ATL,7,G,1-Jun,180,Kentucky,USA
Derrick Rose,32,TOT,4,G,2-Jun,200,Memphis,USA
Terrence Ross,29,ORL,31,G-F,6-Jun,206,Washington,USA
Terry Rozier,26,CHO,3,G,1-Jun,190,Louisville,USA
Ricky Rubio,30,MIN,9,G,3-Jun,190,FC Barcelona,Spain
D'Angelo Russell,24,MIN,0,G,4-Jun,193,Ohio State,USA
Domantas Sabonis,24,IND,11,F-C,11-Jun,240,Gonzaga,Lithuania
Luka Šamanić,21,SAS,NA,NA,NA,NA,NA,NA
JaKarr Sampson,27,IND,14,F,7-Jun,214,St. John's,USA
Dario Šarić,26,PHO,NA,NA,NA,NA,NA,NA
Tomáš Satoranský,29,CHI,NA,NA,NA,NA,NA,NA
Dennis Schröder,27,LAL,NA,NA,NA,NA,NA,NA
Mike Scott,32,PHI,1,F,7-Jun,237,Virginia,USA
Collin Sexton,22,CLE,2,G,1-Jun,190,Alabama,USA
Landry Shamet,23,BRK,20,G,4-Jun,190,Wichita State,USA
Pascal Siakam,26,TOR,43,F,9-Jun,230,New Mexico State,Cameroon
Chris Silva,24,MIA,30,F,8-Jun,234,South Carolina,Gabon
Ben Simmons,24,PHI,25,G-F,11-Jun,240,Louisiana State,Australia
Anfernee Simons,21,POR,1,G,3-Jun,181,Edgewater HS (FL),USA
Deividas Sirvydis,20,DET,91,F-G,8-Jun,190,-,Lithuania
Marcus Smart,26,BOS,36,G,3-Jun,220,Oklahoma State,USA
Dennis Smith Jr.,23,TOT,0,G,2-Jun,205,North Carolina State,USA
Ish Smith,32,WAS,14,G,1-Jun,175,Wake Forest,USA
Jalen Smith,20,PHO,10,F-C,10-Jun,215,Maryland,USA
Tony Snell,29,ATL,19,G,6-Jun,213,New Mexico,USA
Cassius Stanley,21,IND,2,G,5-Jun,190,Duke,USA
Lamar Stevens,23,CLE,8,F,6-Jun,230,Penn State,USA
Isaiah Stewart,19,DET,28,F-C,8-Jun,250,Washington,USA
Max Strus,24,MIA,31,G-F,5-Jun,215,DePaul,USA
Edmond Sumner,25,IND,5,G,4-Jun,196,Xavier,USA
Jae'Sean Tate,25,HOU,8,F,4-Jun,230,Ohio State,USA
Jayson Tatum,22,BOS,0,F-G,8-Jun,210,Duke,USA
Jeff Teague,32,BOS,55,G,3-Jun,195,Wake Forest,USA
Garrett Temple,34,CHI,17,G-F,5-Jun,195,Louisiana State,USA
Tyrell Terry,20,DAL,1,G,2-Jun,160,Stanford,USA
Daniel Theis,28,BOS,27,F-C,8-Jun,245,Brose Bamberg,Germany
Brodric Thomas,24,HOU,NA,G,5-Jun,185,-,USA
Matt Thomas,26,TOR,21,G,4-Jun,190,Iowa State,USA
Tristan Thompson,29,BOS,13,C-F,9-Jun,254,Texas,Canada
Sindarius Thornwell,26,NOP,15,G,4-Jun,215,South Carolina,USA
Matisse Thybulle,23,PHI,22,G-F,5-Jun,201,Washington,USA
Xavier Tillman Sr.,22,MEM,NA,NA,NA,NA,NA,NA
Obi Toppin,22,NYK,1,F,9-Jun,220,Dayton,USA
Juan Toscano-Anderson,27,GSW,95,F,6-Jun,209,Marquette,USA
Karl-Anthony Towns,25,MIN,32,C-F,11-Jun,248,Kentucky,USA
Gary Trent Jr.,22,POR,2,G-F,5-Jun,209,Duke,USA
P.J. Tucker,35,HOU,17,F,5-Jun,245,Texas,USA
Myles Turner,24,IND,33,C-F,11-Jun,250,Texas,USA
Jonas Valančiūnas,28,MEM,NA,NA,NA,NA,NA,NA
Denzel Valentine,27,CHI,45,G,4-Jun,220,Michigan State,USA
Jarred Vanderbilt,21,MIN,8,F,9-Jun,214,Kentucky,USA
Fred VanVleet,26,TOR,23,G,1-Jun,197,Wichita State,USA
Devin Vassell,20,SAS,24,G-F,5-Jun,200,Florida State,USA
Gabe Vincent,24,MIA,2,G,3-Jun,200,California-Santa Barbara,USA
Nikola Vučević,30,ORL,NA,NA,NA,NA,NA,NA
Dean Wade,24,CLE,32,F-C,9-Jun,228,Kansas State,USA
Moritz Wagner,23,WAS,21,F-C,11-Jun,245,Michigan,Germany
Kemba Walker,30,BOS,8,G,1-Jun,184,Connecticut,USA
Lonnie Walker,22,SAS,NA,NA,NA,NA,NA,NA
John Wall,30,HOU,1,G,3-Jun,210,Kentucky,USA
Brad Wanamaker,31,GSW,10,G,3-Jun,210,Pittsburgh,USA
T.J. Warren,27,IND,1,F,8-Jun,220,North Carolina State,USA
P.J. Washington,22,CHO,25,F,7-Jun,230,Kentucky,USA
Yuta Watanabe,26,TOR,18,G-F,9-Jun,215,George Washington,Japan
Tremont Waters,23,BOS,51,G,10-May,175,Louisiana State,USA
Paul Watson,26,TOR,1,G,6-Jun,210,Fresno State,USA
Quinndary Weatherspoon,24,SAS,15,G,3-Jun,205,Mississippi State,USA
Russell Westbrook,32,WAS,4,G,3-Jun,200,UCLA,USA
Coby White,20,CHI,0,G,5-Jun,195,North Carolina,USA
Derrick White,26,SAS,4,G,4-Jun,190,Colorado,USA
Hassan Whiteside,31,SAC,20,C,1-Jul,265,Marshall,USA
Andrew Wiggins,25,GSW,22,F,7-Jun,197,Kansas,Canada
Grant Williams,22,BOS,12,F,6-Jun,236,Tennessee,USA
Kenrich Williams,26,OKC,34,G-F,6-Jun,210,TCU,USA
Lou Williams,34,LAC,23,G,1-Jun,175,South Gwinnett HS (GA),USA
Patrick Williams,19,CHI,9,F,7-Jun,215,Florida State,USA
Robert Williams,23,BOS,NA,NA,NA,NA,NA,NA
Zion Williamson,20,NOP,1,F,7-Jun,284,Duke,USA
D.J. Wilson,24,MIL,5,F,10-Jun,231,Michigan,USA
Dylan Windler,24,CLE,9,G-F,6-Jun,196,Belmont,USA
Cassius Winston,22,WAS,5,G,1-Jun,185,Michigan State,USA
James Wiseman,19,GSW,33,C,1-Jul,240,Memphis,USA
Christian Wood,25,HOU,35,F,10-Jun,214,UNLV,USA
Robert Woodard,21,SAC,NA,NA,NA,NA,NA,NA
Delon Wright,28,DET,55,G,5-Jun,185,Utah,USA
Thaddeus Young,32,CHI,21,F,8-Jun,235,Georgia Tech,USA
Trae Young,22,ATL,11,G,1-Jun,180,Oklahoma,USA
Cody Zeller,28,CHO,40,F-C,11-Jun,240,Indiana,USA
Ivica Zubac,23,LAC,40,C,1-Jul,240,Mega Basket,Croatia
